name,dob,team,image_url
Anna Iriyama,3/12/1995,Team A,"https://s.akb48.co.jp/upload/images/b5724a24a2653641ec0a6af6438986b4.jpg?t=1596691388
"
Rin Okabe,7/11/1996,Team A,"https://s.akb48.co.jp/upload/images/b736a97413df084560540090a4624b51.jpg?t=1596691409
"
Hinano Okumoto,9/10/2003,Team A,"https://s.akb48.co.jp/upload/images/793a9940255409a9e8787d0eac4cec29.jpg?t=1596691443
"
Yui Oguri,26/12/2001,Team A,"https://s.akb48.co.jp/upload/images/154a1dc36b18f3d646a187eda999d96d.jpg?t=1596691461
"
Rena Kato,10/7/1997,Team A,"https://s.akb48.co.jp/upload/images/c7d4f1e256a1a151ada2806322c1da7f.jpg?t=1596691479
"
Minami Sato,3/8/2003,Team A,"https://s.akb48.co.jp/upload/images/179ac688887d9e9b740d86be4e3dfc5a.jpg?t=1596691505
"
Miu Shitao,3/4/2001,Team A,"https://s.akb48.co.jp/upload/images/8f2c03c350c8587a304980be5ebd4471.jpg?t=1596691529
"
Ayana Shinozaki,8/1/1996,Team A,"https://s.akb48.co.jp/upload/images/d5e3666afcbed98b781932dc5008d60c.jpg?t=1596691547
"
Kurumi Suzuki,2/9/2004,Team A,"https://s.akb48.co.jp/upload/images/c5041636bcf875008ae61d191cd14a72.jpg?t=1596691933
"
Manaka Taguchi,12/12/2003,Team A,https://s.akb48.co.jp/upload/images/8ea8e0722f5e8d445b10b1593d427448.jpg?t=1596691952
Erii Chiba,27/10/2003,Team A,"https://s.akb48.co.jp/upload/images/13cdb6ebb84a8739bb3daa1342f7f022.jpg?t=1596691974
"
Rei Nishikawa,25/10/2003,Team A,"https://s.akb48.co.jp/upload/images/f582c8c52bdc8877d7a466870eff4ebb.jpg?t=1596691990
"
Nazuna Furukawa,21/8/2003,Team A,"https://s.akb48.co.jp/upload/images/aa08a917e63a7d318028fa25cb1659d1.jpg?t=1596692219
"
Saki Michieda,20/12/2003,Team A,"https://s.akb48.co.jp/upload/images/b16f7b515449273ad009838f9f37614f.jpg?t=1596692053
"
Miho Miyazaki,30/7/1993,Team A,"https://s.akb48.co.jp/upload/images/a485b18c7642de1be737a0b5d4ccaa37.jpg?t=1596692090
"
Mion Mukaichi,29/1/1998,Team A,"https://s.akb48.co.jp/upload/images/63a448ed3534abc6ecdeb4d3ebed551a.jpg?t=1596692150
"
Suzuha Yamane,11/8/2000,Team A,"https://s.akb48.co.jp/upload/images/052752b58f2062632088ea2a2e0e654a.jpg?t=1596692168
"
Yui Yokoyama,8/12/1992,Team A,"https://s.akb48.co.jp/upload/images/9f78dbf8ec1ef4293d82212dd3b8a235.jpg?t=1596692185
"
Karen Yoshida,27/8/2002,Team A,"https://s.akb48.co.jp/upload/images/ad75eded175766226176c1b1fbda4c82.jpg?t=1596692203
"
Manami Ichikawa,26/8/1999,Team K,"https://s.akb48.co.jp/upload/images/cae6dd139c647aa3fb461bd4533368e5.jpg?t=1596692316
"
Rina Okada,27/7/1999,Team K,"https://s.akb48.co.jp/upload/images/33f593aedd6e71c8e354a09a195fdbc9.jpg?t=1596692828
"
Erina Oda,25/4/1997,Team K,"https://s.akb48.co.jp/upload/images/e0bd874482cdc180715da5d7599596e5.jpg?t=1596692844
"
Narumi Kuranoo,8/11/2000,Team K,"https://s.akb48.co.jp/upload/images/e5b0165c62f4880218200e19b845f13b.jpg?t=1596692873
"
Ran Kobayashi,7/10/2003,Team K,"https://s.akb48.co.jp/upload/images/680bfe2b7e041c9c197a21c63d03c3bc.jpg?t=1596692889
"
Haruka Komiyama,12/9/1998,Team K,"https://s.akb48.co.jp/upload/images/a896f23e4680aaccd3648d3fdfa36ab3.jpg?t=1596692911
"
Hinana Shimoguchi,19/7/2001,Team K,"https://s.akb48.co.jp/upload/images/d31f72b3f3fa77bd266201ded5b74936.jpg?t=1596692929
"
Ayami Nagatomo,2/11/2000,Team K,"https://s.akb48.co.jp/upload/images/286bbb410bdc67a0e3dfb1de9b5322a2.jpg?t=1596692945
"
Megumi Nagano,22/3/2004,Team K,"https://s.akb48.co.jp/upload/images/e4bd3c3d459b40ae0781d2143a552dd5.jpg?t=1596693177
"
Haruna Hashimoto,25/5/2000,Team K,"https://s.akb48.co.jp/upload/images/ea441e059cc590821989892c8617b0a2.jpg?t=1596692959
"
Yuki Harumoto,24/12/1999,Team K,"https://s.akb48.co.jp/upload/images/731b61941835e9729e46d237847f1072.jpg?t=1596692982
"
Ayaka Hidaritomo,29/7/1998,Team K,"https://s.akb48.co.jp/upload/images/cabff8384bbeb418bc9541a7280c9848.jpg?t=1596692999
"
Orin Muto,22/7/2000,Team K,"https://s.akb48.co.jp/upload/images/dd7e812586bf511f1712304ebaa3d6dd.jpg?t=1596693033
"
Tomu Muto,25/11/1994,Team K,"https://s.akb48.co.jp/upload/images/17d78a69f9f7009efb1fee96d857f895.jpg?t=1596693052
"
Shinobu Mogi,16/2/1997,Team K,"https://s.akb48.co.jp/upload/images/f2fcd14695b960c0f6942a8f24168c6e.jpg?t=1596693065
"
Kana Yasuda,11/3/2002,Team K,"https://s.akb48.co.jp/upload/images/aecf2b5dfd33a73dcb1412e146731eda.jpg?t=1596693080
"
Kyoka Yamada,3/11/2002,Team K,"https://s.akb48.co.jp/upload/images/4561c4b6d377d2d60dcbb83707f0bcf6.jpg?t=1596693097
"
Ami Yumoto,3/10/1997,Team K,"https://s.akb48.co.jp/upload/images/c8f9836545753fe17db93b8a6ff62944.jpg?t=1596693113
"
Yui Yokoyama,22/2/2001,Team K,"https://s.akb48.co.jp/upload/images/15343a5b79f97f8211e69657d2613143.jpg?t=1596693138
"
Saho Iwatate,4/10/1994,Team B,"https://s.akb48.co.jp/upload/images/885b76b746cc25e07a62f7e8f07180bc.jpg?t=1596693280
"
Hitomi Otake,27/6/1999,Team B,"https://s.akb48.co.jp/upload/images/1c076f6e50f1953b760c8acbd42a1215.jpg?t=1596693296
"
Maho Omori,5/12/1999,Team B,"https://s.akb48.co.jp/upload/images/c7c57503facdaa141e81501fa2cccbaf.jpg?t=1596693310
"
Shizuka Oya,28/12/1991,Team B,"https://s.akb48.co.jp/upload/images/91dfe4555eaa9499d1209ca550e32375.jpg?t=1596693338
"
Hinako Okuhara,18/11/2003,Team B,"https://s.akb48.co.jp/upload/images/cbe731016af32b78da06b80057b5996d.jpg?t=1596693354
"
Yuki Kashiwagi,15/7/1991,Team B,"https://s.akb48.co.jp/upload/images/102886d4fa0170f075e71b77e9937475.jpg?t=1596693370
"
Misaki Kawahara ,3/4/2002,Team B,"https://s.akb48.co.jp/upload/images/3b6df5c8dd9c11234b7877c27c339557.jpg?t=1596693405
"
Saki Kitazawa,5/6/1997,Team B,"https://s.akb48.co.jp/upload/images/bd369a9807dad1b411e41e4d248f7970.jpg?t=1596693426
"
Satone Kubo,20/11/2003,Team B,"https://s.akb48.co.jp/upload/images/94eb800e783c8092e4bbfd329f1bc3c5.jpg?t=1596693447
"
Haruna Saito,24/5/2004,Team B,"https://s.akb48.co.jp/upload/images/720eb92f0811477827aedc8986a693ac.jpg?t=1596693477
"
Yukari Sasaki,28/8/1995,Team B,https://s.akb48.co.jp/upload/images/5375bc86481f3ca8bd058a9ff5a70fbc.jpg?t=1596730256
Maria Shimizu,29/9/1997,Team B,https://s.akb48.co.jp/upload/images/fee862fd4cfd2543462e21de2103ec01.jpg?t=1596730256
Kayoko Takita,13/2/1997,Team B,https://s.akb48.co.jp/upload/images/a74ae02fae380c2bc7aa449cffe122a4.jpg?t=1596730256
Megu Taniguchi,12/11/1998,Team B,https://s.akb48.co.jp/upload/images/fe28c8c969b66512b800d18b1e3baa84.jpg?t=1596730256
Chiyori Nakanishi,12/5/1995,Team B,https://s.akb48.co.jp/upload/images/efb508eede1ffe6d01b465f7ad1be1d0.jpg?t=1596730256
Yuna Hattori,30/3/2001,Team B,https://s.akb48.co.jp/upload/images/748066becfa860b266ff30cdde1f29e2.jpg?t=1596730256
Seina Fukuoka,1/8/2000,Team B,https://s.akb48.co.jp/upload/images/aa606c7a7fc55055f4e6252ca26a5685.jpg?t=1596730256
Hitomi Honda,6/10/2001,Team B,https://s.akb48.co.jp/upload/images/7064ae46f530cbc19042e1111df96291.jpg?t=1621846342
Ayu Yamabe,3/2/2002,Team B,https://s.akb48.co.jp/upload/images/6c5d67270b012e9413b12b51f700f736.jpg?t=1596730256
Nanase Yoshikawa,21/7/1998,Team B,https://s.akb48.co.jp/upload/images/b6e2efd18d71e327dad96067de165268.jpg?t=1596730256
Nanami Asai,20/5/2000,Team 4,https://s.akb48.co.jp/upload/images/29f632a06221fa136c1b925d3ae410c1.jpg?t=1596730408
Sena Ishiwata,22/2/2002,Team 4,https://s.akb48.co.jp/upload/images/02488ed328d9909747e3d7f7ac5c595d.jpg?t=1596730408
Kaori Inagaki,31/10/1997,Team 4,https://s.akb48.co.jp/upload/images/03d6a5cafc4ef6841290337f80e5c50a.jpg?t=1596730408
Hatsuka Utada,8/7/2002,Team 4,https://s.akb48.co.jp/upload/images/a673d43048863ec20bf8a94be218cd02.jpg?t=1596730408
Momoka Onishi,20/9/1997,Team 4,https://s.akb48.co.jp/upload/images/68914857766968fd318c187374f149f2.jpg?t=1596730408
Miyuu Omori,3/9/1998,Team 4,https://s.akb48.co.jp/upload/images/9c37ad88cbd5a98b214898c238a9cf1b.jpg?t=1596730408
Nana Okada,7/11/1997,Team 4,https://s.akb48.co.jp/upload/images/46d771de4557fbe901ff105d1ab2ea26.jpg?t=1596730408
Yurina Gyoten,14/3/1999,Team 4,https://s.akb48.co.jp/upload/images/c11a5553cd033ca3af2a10a2787047d3.jpg?t=1596730408
Miyuu Kuramoto,21/5/2001,Team 4,https://s.akb48.co.jp/upload/images/391471087ae8d6f96a20d5c1b4b3e399.jpg?t=1596730408
Haruka Kurosu,28/2/2001,Team 4,https://s.akb48.co.jp/upload/images/b69948d0770c12a689c31f3a993e856a.jpg?t=1596730408
Nagisa Sakaguchi,23/12/2000,Team 4,https://s.akb48.co.jp/upload/images/4e187fe2d360e872908d16c90d30a1f7.jpg?t=1596730408
Kiara Sato,11/8/2000,Team 4,https://s.akb48.co.jp/upload/images/9b2f0cf234cffde96a607c1f2693b6d5.jpg?t=1596730408
Kaoru Takaoka,29/11/2000,Team 4,https://s.akb48.co.jp/upload/images/b956f0d74fa495036ab2a80d36983991.jpg?t=1596730408
Ayane Takahashi,30/12/1997,Team 4,https://s.akb48.co.jp/upload/images/960a435faf3fa2e55053e847bcd75045.jpg?t=1596730408
Sayaka Takahashi,22/11/2001,Team 4,https://s.akb48.co.jp/upload/images/d9eb143c6f5b45aea7aae0258842fc7c.jpg?t=1596730408
Kyoka Tada,19/8/1999,Team 4,https://s.akb48.co.jp/upload/images/c99516aee4e0ef522cea2e670ff24c58.jpg?t=1596730408
Serika Nagano,27/3/2001,Team 4,https://s.akb48.co.jp/upload/images/11ea7944894d2023fc0124e20238c4cb.jpg?t=1596730408
Sayuna Hama,20/8/2001,Team 4,https://s.akb48.co.jp/upload/images/6f3ca5e9ebde1984c3ba8a0cb6eedbee.jpg?t=1596730408
Hikaru Hirano,29/1/2003,Team 4,https://s.akb48.co.jp/upload/images/4fffe1a7f986bb21ded76ed4d9eec523.jpg?t=1596730408
Mai Homma,6/9/2002,Team 4,https://s.akb48.co.jp/upload/images/50ee7c033afccf9e879de3f95ed5050b.jpg?t=1596730408
Chia-Ling Ma,21/12/1996,Team 4,https://s.akb48.co.jp/upload/images/78aa2e9d499b842a5eef91160ccf43af.jpg?t=1596730408
Rira Miyazato,30/3/2002,Team 4,https://s.akb48.co.jp/upload/images/000e0b5fc07b3e51d392364bd4d13854.jpg?t=1596730408
Yuiri Murayama,15/6/1997,Team 4,https://s.akb48.co.jp/upload/images/409df87fd0be202cc37cc0877c13b413.jpg?t=1596730408
Mizuki Yamauchi,20/9/2001,Team 4,https://s.akb48.co.jp/upload/images/65fe7293d8381ebc441b1e4b73cde2a7.jpg?t=1596730408
Yuzuka Yoshihashi,29/12/1999,Team 4,https://s.akb48.co.jp/upload/images/a7b7cbdbaad4fd7a3dda1951998c1388.jpg?t=1596730408
Nagisa Sakaguchi,23/12/2000,Team 8,https://s.akb48.co.jp/upload/images/4e187fe2d360e872908d16c90d30a1f7.jpg?t=1596730408
Yui Yokoyama,22/2/2001,Team 8,"https://s.akb48.co.jp/upload/images/15343a5b79f97f8211e69657d2613143.jpg?t=1596693138
"
Mashiro Mitomo,25/11/2005,Team 8,https://s.akb48.co.jp/upload/images/e309fb3ae8355c6ac49070fec83e9aa3.jpg?t=1596730677
Rin Okabe,7/11/1996,Team 8,"https://s.akb48.co.jp/upload/images/b736a97413df084560540090a4624b51.jpg?t=1596691409
"
Hitomi Honda,6/10/2001,Team 8,https://s.akb48.co.jp/upload/images/7064ae46f530cbc19042e1111df96291.jpg?t=1621846342
Maria Shimizu,29/9/1997,Team 8,https://s.akb48.co.jp/upload/images/fee862fd4cfd2543462e21de2103ec01.jpg?t=1596730256
Ayane Takahashi,30/12/1997,Team 8,https://s.akb48.co.jp/upload/images/960a435faf3fa2e55053e847bcd75045.jpg?t=1596730408
Nanase Yoshikawa,21/7/1998,Team 8,https://s.akb48.co.jp/upload/images/b6e2efd18d71e327dad96067de165268.jpg?t=1596730256
Yui Oguri,26/12/2001,Team 8,"https://s.akb48.co.jp/upload/images/154a1dc36b18f3d646a187eda999d96d.jpg?t=1596691461
"
Erina Oda,25/4/1997,Team 8,"https://s.akb48.co.jp/upload/images/e0bd874482cdc180715da5d7599596e5.jpg?t=1596692844
"
Ayaka Hidaritomo,29/7/1998,Team 8,"https://s.akb48.co.jp/upload/images/cabff8384bbeb418bc9541a7280c9848.jpg?t=1596692999
"
Hatsuka Utada,8/7/2002,Team 8,https://s.akb48.co.jp/upload/images/a673d43048863ec20bf8a94be218cd02.jpg?t=1596730408
Yuka Suzuki,15/8/2000,Team 8,https://s.akb48.co.jp/upload/images/4d5104436e6ef0d7b3bcfcc8ffc1af53.jpg?t=1596730677
Yuna Hattori,30/3/2001,Team 8,https://s.akb48.co.jp/upload/images/748066becfa860b266ff30cdde1f29e2.jpg?t=1596730256
Haruna Hashimoto,25/5/2000,Team 8,"https://s.akb48.co.jp/upload/images/ea441e059cc590821989892c8617b0a2.jpg?t=1596692959
"
Hikaru Hirano,29/1/2003,Team 8,https://s.akb48.co.jp/upload/images/4fffe1a7f986bb21ded76ed4d9eec523.jpg?t=1596730408
Hiyuka Sakagawa,7/10/2006,Team 8,https://s.akb48.co.jp/upload/images/adc7f082c9345ad2b81de18f4a9e851c.jpg?t=1596730677
Sayaka Takahashi,22/11/2001,Team 8,https://s.akb48.co.jp/upload/images/d9eb143c6f5b45aea7aae0258842fc7c.jpg?t=1596730408
Serika Nagano,27/3/2001,Team 8,https://s.akb48.co.jp/upload/images/11ea7944894d2023fc0124e20238c4cb.jpg?t=1596730408
Mitsuho Fukutome,22/10/2003,Team 8,https://s.akb48.co.jp/upload/images/20e8ed276a39cf212a72c92e7df166a0.jpg?t=1596730677
Momoka Onishi,20/9/1997,Team 8,https://s.akb48.co.jp/upload/images/68914857766968fd318c187374f149f2.jpg?t=1596730408
Sayuna Hama,20/8/2001,Team 8,https://s.akb48.co.jp/upload/images/6f3ca5e9ebde1984c3ba8a0cb6eedbee.jpg?t=1596730408
Remi Tokunaga,1/10/2006,Team 8,https://s.akb48.co.jp/upload/images/3adba3139b20b47a6fff89bc9ddaf4c1.jpg?t=1596730677
Hinako Okuhara,18/11/2003,Team 8,"https://s.akb48.co.jp/upload/images/cbe731016af32b78da06b80057b5996d.jpg?t=1596693354
"
Yukina Kamachi,22/1/2000,Team 8,https://s.akb48.co.jp/upload/images/1a857c75ca9ad579f1a4689b75f1f414.jpg?t=1596730677
Hinano Okumoto,9/10/2003,Team 8,"https://s.akb48.co.jp/upload/images/793a9940255409a9e8787d0eac4cec29.jpg?t=1596691443
"
Miu Shitao,3/4/2001,Team 8,"https://s.akb48.co.jp/upload/images/8f2c03c350c8587a304980be5ebd4471.jpg?t=1596691529
"
Yuki Harumoto,24/12/1999,Team 8,"https://s.akb48.co.jp/upload/images/731b61941835e9729e46d237847f1072.jpg?t=1596692982
"
Yurina Gyoten,14/3/1999,Team 8,https://s.akb48.co.jp/upload/images/c11a5553cd033ca3af2a10a2787047d3.jpg?t=1596730408
Kaoru Takaoka,29/11/2000,Team 8,https://s.akb48.co.jp/upload/images/b956f0d74fa495036ab2a80d36983991.jpg?t=1596730408
Karen Yoshida,27/8/2002,Team 8,"https://s.akb48.co.jp/upload/images/ad75eded175766226176c1b1fbda4c82.jpg?t=1596692203
"
Misaki Kawahara ,3/4/2002,Team 8,"https://s.akb48.co.jp/upload/images/3b6df5c8dd9c11234b7877c27c339557.jpg?t=1596693405
"
Mizuki Onoue,22/5/2000,Team 8,https://s.akb48.co.jp/upload/images/b04dbcbf398e13b2cb8043c946874cdd.jpg?t=1596730677
Narumi Kuranoo,8/11/2000,Team 8,"https://s.akb48.co.jp/upload/images/e5b0165c62f4880218200e19b845f13b.jpg?t=1596692873
"
Kyoka Yamada,3/11/2002,Team 8,"https://s.akb48.co.jp/upload/images/4561c4b6d377d2d60dcbb83707f0bcf6.jpg?t=1596693097
"
Sorano Uemi,15/7/2001,Team 8,https://s.akb48.co.jp/upload/images/aa68e9e05320c01489c12f6a2bd0dd69.jpg?t=1596730677
Rei Fujizono,18/1/2005,Team 8,https://s.akb48.co.jp/upload/images/f6671e616a47b3657643ca6f5169fc94.jpg?t=1596730677
Rira Miyazato,30/3/2002,Team 8,https://s.akb48.co.jp/upload/images/000e0b5fc07b3e51d392364bd4d13854.jpg?t=1596730408
